country,pearson_r_school_gdp,p_value,n
Lao PDR,0.8467104004220287,9.527448530591537e-08,25
Lebanon,0.6521910547679897,0.0004111576512666094,25
Togo,0.6500795194056672,0.00043555475642636105,25
Andorra,0.6052135789640747,0.0013487239136112882,25
Solomon Islands,0.5573853790023071,0.00379605764990287,25
Bulgaria,0.508114630290848,0.009507211610969723,25
China,0.48957462116833234,0.012992743214304154,25
Cote d'Ivoire,0.47323825647513573,0.016879868701593862,25
Mongolia,0.4723015431719538,0.017128818620322235,25
Guinea,0.4643999064420354,0.01935065242309751,25
Senegal,0.45706197172740926,0.021619006834138015,25
Lesotho,0.4417429805963127,0.02705131631641996,25
Croatia,0.4364263632826929,0.029175028860795274,25
Kazakhstan,0.4348839777041035,0.029815538869635297,25
Rwanda,0.43421238533221185,0.030097932024307408,25
Indonesia,0.40070529767168683,0.04714156105551755,25
Zambia,0.3958364236308324,0.05014736557075327,25
Kuwait,0.392535722193161,0.05226881788208759,25
Uganda,0.3804363233457799,0.0606493379796079,25
Estonia,0.3801399464344348,0.060866910863852874,25
Cuba,0.37603585005106144,0.0639421638757594,25
Mauritius,0.37547492112691283,0.06437160266805522,25
Sao Tome and Principe,0.3714860462065329,0.06748977001076989,25
Turks and Caicos Islands,0.355815135526176,0.08087327100342723,25
Burundi,0.35116020006995924,0.08521178874998338,25
Belarus,0.3452940862436005,0.09092634517745107,25
Turkmenistan,0.3452668370218758,0.09095354426935016,25
Panama,0.3442671145053613,0.09195565233920663,25
Ukraine,0.33622296569243,0.10032243506757269,25
San Marino,0.3334589865477142,0.1033240286538317,25
Cambodia,0.33186556871218753,0.10508440980610148,25
Bosnia and Herzegovina,0.3253103261503969,0.11256062102892407,25
Serbia,0.32358743114855204,0.11458889277576403,25
India,0.31598141747417996,0.12386447066001215,25
Ecuador,0.3074584469981264,0.13489443382512772,25
Russian Federation,0.305662933496755,0.13730558439539742,25
Tunisia,0.29656886465618776,0.14999512901473297,25
Latvia,0.28584304950043843,0.16600784824656478,25
